cleanup_id,push,task_id,month,priority,url_pattern_or_url,decision,canonical_target_url,reason,impressions_365d_approx,clicks_365d_approx
CN-01-A,Push 3,CN-01,M1,P0,/services/alcohol-detoxification-services-in-newfane-ny,REDIRECT-TO-MAIN-SMALL,/services/alcohol-detoxification-services,Service-page dupe; content-merge then 301 to base URL,~0,~1
CN-01-B,Push 3,CN-01,M1,P0,/services/opioid-detoxification-services-in-newfane-ny,REDIRECT-TO-MAIN-SMALL,/services/opioid-detoxification-services,Same,~0,~0
CN-01-C,Push 3,CN-01,M1,P0,/services/drug-detox-services-in-newfane-ny,REDIRECT-TO-MAIN-SMALL,/services/drug-detox-services,Same,~0,~1
CN-01-D,Push 3,CN-01,M1,P0,/services/benzodiazepines-detoxification-services-in-newfane-ny,REDIRECT-TO-MAIN-SMALL,/services/benzodiazepines-detoxification,Same,~0,~0
CN-01-E,Push 3,CN-01,M1,P0,/services/short-term-residential-program-in-newfane-ny,REDIRECT-TO-MAIN-SMALL,/services/short-term-residential-program,Same,~0,~1
LP-10-A,Push 4,LP-10,M2,P1,/locations/best-addiction-rehab-in-millville-ny,REDIRECT-TO-MAIN-SMALL,/areas-served,Doorway template (May 2026 batch); Millville is rural Niagara/Orleans County edge — no anchor city match; redirect to areas-served hub,low (recent build),~0
LP-10-B,Push 4,LP-10,M2,P1,/locations/premium-addiction-rehab-in-eagle-harbor-ny,REDIRECT-TO-MAIN-SMALL,/locations/lockport,Eagle Harbor is Lockport-area; redirect to anchor city,low,~0
LP-10-C,Push 4,LP-10,M2,P1,/locations/local-addiction-rehab-in-abbott-mckinley-ny,REDIRECT-TO-MAIN-SMALL,/areas-served,Rural; redirect to areas-served hub,low,~0
LP-10-D,Push 4,LP-10,M2,P1,/locations/reputable-addiction-rehab-in-cowlesville-ny,REDIRECT-TO-MAIN-SMALL,/areas-served,Same pattern,low,~0
LP-10-E,Push 4,LP-10,M2,P1,/locations/highly-recommended-addiction-rehab-in-marilla-ny,REDIRECT-TO-MAIN-SMALL,/locations/cheektowaga,Marilla is Erie County southeast; closest substantive anchor is Cheektowaga,low,~0
LP-10-F,Push 4,LP-10,M2,P1,/locations/dependable-addiction-rehab-in-blossom-ny,REDIRECT-TO-MAIN-SMALL,/locations/cheektowaga,Same pattern (Blossom = Erie County),low,~0
LP-10-G,Push 4,LP-10,M2,P1,/locations/renowned-rehabilitation-center-in-attica-ny,REDIRECT-TO-MAIN-SMALL,/areas-served,Attica = Wyoming County rural; redirect to areas-served,low (M2 build pipeline),~0
LP-10-H,Push 4,LP-10,M2,P1,/locations/leading-rehabilitation-center-in-east-oakville-ny,REDIRECT-TO-MAIN-SMALL,/areas-served,Same rural; redirect,low,~0
LP-10-I,Push 4,LP-10,M2,P1,/locations/famous-rehabilitation-center-in-east-pembroke-ny,REDIRECT-TO-MAIN-SMALL,/areas-served,Same rural; redirect,low,~0
LP-10-PATTERN,Push 4,LP-10,M2,P1,"/locations/{adjective}-{modality}-in-{town}-ny — full ~60 URL list per sitemap audit","REDIRECT-TO-MAIN-SMALL (mapping rules below)","Per anchor-city mapping below","Doorway template (same template Surfpoint + Arms Acres have); per HQDM fill-not-kill policy NEVER bulk NOINDEX/410",N/A,N/A
LP-10-RULES,Push 4,LP-10,M2,Info,Mapping rules for the ~50 remaining doorway URLs,N/A,N/A,"Rule 1: Towns within Niagara County (Newfane / Olcott / Burt / Barker etc.) → redirect to /areas-served. Rule 2: Lockport-area towns (Ridgewood / Highland Park / Cambria Center / Pendleton / etc. on ZIP 14094) → redirect to /locations/lockport. Rule 3: Buffalo-metro towns (Williamsville / Cheektowaga / Amherst / Tonawanda / N. Tonawanda) → respective /locations/<town> page. Rule 4: Buffalo proper (any /in-buffalo-ny doorway) → /locations/buffalo (post-BC-04 rewrite). Rule 5: Niagara Falls-area → /locations/niagara-falls (post-LP-08 upgrade). Rule 6: Out-of-region / rural / no anchor match → /areas-served as fallback.",N/A,N/A
CC-01-COHORT,Push 5,CC-01,M2,P1,"~300 off-vertical high-impression blog posts (per v1 Custom_Strategy.md analysis)",NOINDEX or 410,"N/A — content removal, not redirect","Off-vertical content diluting topical authority for addiction-treatment YMYL vertical. Examples flagged by v1: porn-addiction posts (350K imp combined), vape-by-country posts, social-media-addiction posts, generic-mental-health posts diverging from addiction-treatment focus.","~350K imp combined on top off-vertical posts","~0 patient conversion"
CC-01-RULES,Push 5,CC-01,M2,Info,Decision rules for the ~300 cohort,N/A,N/A,"KEEP = on-topic addiction-treatment content with substantive body (any conversion volume even 0). NOINDEX = high-impression but off-vertical; preserve URL for any earned backlinks but delist from index. 410 Gone = high-impression off-vertical AND no backlinks AND no internal links AND >12 months old; permanent removal. REVIEW = ambiguous cases for owner-side input.",N/A,N/A
CC-01-ACTION,Push 5,CC-01,M2,P1,Action item,N/A,N/A,"Pull the v1 Niagara_Recovery_Q2_2026_Custom_Strategy.md (2026-05-14) decision-matrix output for the ~300 off-vertical cohort. For each row apply the decision rules above. Deploy via Webflow CMS NOINDEX or sitemap-level 410 (depending on decision). Re-submit sitemap to GSC.",N/A,N/A
CC-04-COHORT,Push 5,CC-04,M3,P2,"~370 KEEP blog posts (post-CC-01)","INTERNAL-LINKING-PASS — no URL changes",N/A,"After CC-01 NOINDEX/410 reduces inventory from 670 → ~370, the KEEP cohort needs internal-linking pass to consolidate topical authority. Add 1-2 internal links per post to canonical /services/* + 1 internal link to /locations/<anchor> if locality is mentioned.",~75% of blog inventory by impression share post-cleanup,~3500 clicks 365d combined (excluding off-vertical that gets NOINDEX'd)
