gbp_id,task_id,month,priority,gbp_field,current_state,target_state,specific_action,why_data
GA-01,GBP-04,M1,P0,Service Area,"20/20 entries (11 redundant micros in 3 ZIPs: 14094 x7, 14008 x3, 14172 x3)","18/20 entries (9 KEEP + 9 ADD, 2 reserve)","Per Niagara_Recovery_GBP_Service_Area_Swap.csv: DROP 11 micros (7 on 14094 / 2 on 14008 / 2 on 14172). ADD 9 anchor towns (Lockport / Clarence / Cambria / Pendleton / Sanborn / Wheatfield / Youngstown / Lewiston / N. Tonawanda).","Service area at cap; current 11 redundant entries block entity-claim for 8 anchor towns where LD shows 100% coverage at top-3 rank."
GA-02,GBP-05,M1,P0,Photos,6 owner-photos total,25+ owner-photos with category mix,"Owner-side: upload 20+ photos in 5 categories (5 facility / 5 staff / 5 treatment-spaces / 5 outdoor-grounds / 5 Newfane-specific). Tag categories. Stagger 5/week over 4 weeks for recency-signal.","6 photos = lowest of 12 WNY competitor GBPs scanned. Photo-density is a quantified Maps ranking lever."
GA-03,GBP-06,M1,P1,Services,10 services listed with descriptions,12 services with refined descriptions + suboxone-MAT explicit,"Refine 10 existing descriptions (200 char max each) to mirror post-Push 3 site copy. ADD 2 new service entries: ""Suboxone / MAT Program"" + ""Medication-Assisted Recovery"" - matches /services/suboxone-mat-program (SP-03 build).","GBP search log: ""suboxone"" 62 searches in 6mo - explicit service tile needed."
GA-04,GBP-07,M1,P1,Reviews,4.3 star / 47 reviews,4.4 star / 60 reviews by M3,Intake-handoff review-request flow: post-discharge text-message link to Google review URL. Target +13 net by M3 (~4/month cadence).,"Reviews ratio: 47 vs Catholic Health Pathways 69 / Buffalo Adult and Teen Challenge ~50 / Cazenovia Recovery network across pins. +13 reviews achievable via intake handoff at ~10% conversion rate."
GA-05,GBP-08,M1,P1,Review Response Rate,Unknown (baseline TBD),100% within 48h on new reviews,Response template per place_topics gap (mirror addiction-clean topics that comp GBPs respond about). Owner or AM responds within 48h.,Review-response health is a quantified Maps signal per Map Pack module spec.
GA-06,GBP-09,M1,P0,Business Description,Current description focuses on Newfane + inpatient detox,Refine to include WNY service area + suboxone-MAT + payor language,"Update to: ""Experience evidence-based addiction recovery at Niagara Recovery, a premier inpatient detox + short-term residential center in Newfane, NY serving Niagara County + Western NY (Lockport / Niagara Falls / Buffalo metro). Programs: alcohol + drug + opioid + benzo detox, Suboxone-MAT, DBT, 28-day residential. Medicaid + commercial insurance accepted.""","Current description doesn't mention Suboxone-MAT (top GBP-search demand 62/6mo) or payor (commonly-asked PAA). Add WNY service-area framing to support Push 2 entity-claim."
GA-07,GBP-10,M1,P0,Business Name,"""Niagara Recovery: Inpatient Detox & Drug And Alcohol Rehab In Newfane, NY""","""Niagara Recovery: Inpatient Detox & Drug And Alcohol Rehab In Newfane, NY"" (KEEP)",NO CHANGE - the GBP title already uses the canonical brand. This is the site's source of truth.,The site (5/8 core pages) needs to align to the GBP - not the other way around. Push 1 BC-01-04 does the alignment work.
GA-08,GBP-11,M1,P1,Primary Category,Addiction Rehabilitation Centre,Addiction Rehabilitation Centre (KEEP),NO CHANGE - primary category aligns with vertical.,LD intent split shows addiction-clean kws all map to this category.
GA-09,GBP-12,M1,P1,Additional Categories,"Mental Health Clinic, Mental Health Services, Rehabilitation Centre, Alcoholism treatment programme",Same + ADD: Detox Center,Add ""Detox Centre"" as additional category if GBP allows it - top GBP-search ""detox"" = 128 searches Dec-May.,"GBP-search log priority for ""detox"" warrants explicit category."
GA-10,GBP-13,M1,P1,Hours,Open 24/7,Open 24/7 (KEEP),NO CHANGE - 24/7 supports storefront posture.,Owner-ask decision: confirm storefront (24/7 inpatient supports it) vs SAB. Recommend storefront.
GA-11,GBP-14,M1,P2,Attributes,"Wheelchair accessible (seating/toilet/entrance/parking), no gender-neutral toilets, no nursing room, LGBTQ+ friendly, transgender safe space, free parking",Same + add: Onsite parking / Accepts insurance / Outdoor seating (if applicable),Refine attributes to mirror payor language + accessibility.,Current attribute set is fine; minor expansion for payor signal.
