business,is_sp,rating,reviews,overall_coverage,overall_avg_rank,Alcohol_avg_rank,Alcohol_coverage,Opioid_avg_rank,Opioid_coverage,Drug_avg_rank,Drug_coverage,Inpatient_avg_rank,Inpatient_coverage,Detox/Umbrella_avg_rank,Detox/Umbrella_coverage
"Surfpoint Recovery: Inpatient Drug & Alcohol Rehab & Detox In Brooklyn, NY",True,4.8,120.0,12/12,1.6,1.7,3/3,1.0,1/1,1.0,3/3,2.5,2/2,1.7,3/3
LSA Recovery - Coney Island,False,4.3,12.0,11/12,5.4,4.0,3/3,2.0,1/1,2.3,3/3,14.0,2/2,4.5,2/3
"Spring Hill Wellness NY: Outpatient Addiction Treatment Program Brooklyn, New York",False,,,11/12,6.1,2.7,3/3,,0/1,2.7,3/3,16.5,2/2,2.7,3/3
The Safe Foundation,False,5.0,5.0,9/12,5.9,5.0,3/3,,0/1,4.0,3/3,,0/2,8.7,3/3
Bridge Back To Life,False,4.6,11.0,5/12,8.7,6.0,2/3,,0/1,,0/3,15.0,2/2,5.0,1/3
DWI Assessment and Substance Abuse Evaluations NYS OASAS CERTIFIED,False,5.0,1.0,4/12,6.3,9.0,2/3,,0/1,5.0,1/3,,0/2,5.0,1/3
First Step To Recovery,False,1.0,1.0,4/12,10.0,6.0,2/3,,0/1,,0/3,14.0,1/2,10.0,1/3
Shore View Nursing and Rehabilitation,False,4.4,461.0,3/12,4.8,,0/3,,0/1,,0/3,2.5,2/2,7.0,1/3
Seagate Rehabilitation and Nursing Center,False,4.6,494.0,3/12,9.5,,0/3,,0/1,,0/3,6.0,2/2,13.0,1/3
